Name,Att,Comp%,Pass Yds,Pass TDs,INTs,Rush Att,Rush Yds,Rush TDs
Baker Mayfield,1205,67.70%,"14,607",131,30,247,465,7
Sam Darnold,930,62.20%,"9,340",57,22,155,264,5
Josh Allen,649,59.80%,"5,066",44,21,195,767,12
Josh Rosen,770,63.80%,"9,340",60,26,128,59,3
Lamar Jackson,1086,54.40%,"9,043",69,27,655,"4,132",50
Mason Rudolph,1104,64.90%,"13,618",92,26,217,626,15
Kyle Lauletta,1381,61.50%,"10,465",73,23,199,422,9
Mike White,1140,62.10%,"9,942",70,25,164,287,8
Luke Falk,1417,63.90%,"14,464",119,39,150,-19,4
Alex McGough,1159,60.50%,"9,109",70,28,250,"1,144",16
Kurt Benkert,926,58.10%,"6,902",41,21,161,384,4
Logan Woodside,1181,62.30%,"8,900",66,28,148,189,8
Danny Etling,704,60.10%,"4,586",16,14,192,398,7